Filename,n_estimators,max_samples,contamination,max_features,bootstrap,n_jobs,warm_start,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29
CastMetal1,1024,auto,auto,1.0,False,None,False,0.27027027027027023,0.26666666666666666,0.27027027027027023,0.26666666666666666,0.27027027027027023,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.27027027027027023,0.27027027027027023,0.26666666666666666,0.27027027027027023,0.27027027027027023,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.27027027027027023,0.26666666666666666,0.27027027027027023,0.27027027027027023,0.24657534246575344,0.26666666666666666,0.27027027027027023,0.26666666666666666,0.27027027027027023,0.27027027027027023,0.27027027027027023,0.26666666666666666,0.26666666666666666
CastMetal1,100,0.1,auto,1.0,False,None,False,0.28125000000000006,0.2950819672131147,0.2782608695652174,0.272,0.2950819672131147,0.31496062992125984,0.2985074626865672,0.2764227642276423,0.29268292682926833,0.2950819672131147,0.2831858407079646,0.27692307692307694,0.28571428571428575,0.304,0.28125000000000006,0.29457364341085274,0.29268292682926833,0.3,0.2711864406779661,0.2814814814814815,0.2950819672131147,0.2857142857142857,0.27586206896551724,0.2786885245901639,0.28800000000000003,0.2992125984251968,0.2956521739130435,0.29457364341085274,0.2833333333333333,0.29457364341085274
CastMetal1,100,0.2,auto,1.0,False,None,False,0.3106796116504854,0.29357798165137616,0.27522935779816515,0.30769230769230765,0.2831858407079646,0.3106796116504854,0.28571428571428575,0.2956521739130435,0.27522935779816515,0.2956521739130435,0.30612244897959184,0.2941176470588235,0.29090909090909084,0.2831858407079646,0.31683168316831684,0.29906542056074764,0.2916666666666667,0.30508474576271183,0.29906542056074764,0.29906542056074764,0.29357798165137616,0.28037383177570097,0.2608695652173913,0.30000000000000004,0.3119266055045872,0.29906542056074764,0.30303030303030304,0.28846153846153844,0.28,0.31683168316831684
CastMetal1,100,0.3,auto,1.0,False,None,False,0.31250000000000006,0.30303030303030304,0.2765957446808511,0.31250000000000006,0.2826086956521739,0.3225806451612903,0.2758620689655172,0.29545454545454547,0.29473684210526313,0.29473684210526313,0.3191489361702128,0.2916666666666667,0.26373626373626374,0.3333333333333333,0.3157894736842105,0.2708333333333333,0.29545454545454547,0.2558139534883721,0.30612244897959184,0.2826086956521739,0.2978723404255319,0.2765957446808511,0.24444444444444444,0.33684210526315794,0.29885057471264365,0.2941176470588235,0.25,0.3157894736842105,0.30612244897959184,0.3018867924528302
CastMetal1,100,0.4,auto,1.0,False,None,False,0.29545454545454547,0.2888888888888889,0.29545454545454547,0.3157894736842105,0.2790697674418604,0.2790697674418604,0.2758620689655172,0.2736842105263158,0.29885057471264365,0.2826086956521739,0.2857142857142857,0.2857142857142857,0.29885057471264365,0.26666666666666666,0.2978723404255319,0.30769230769230765,0.2826086956521739,0.2916666666666667,0.29213483146067415,0.2888888888888889,0.2765957446808511,0.29473684210526313,0.2608695652173913,0.2736842105263158,0.26666666666666666,0.3010752688172043,0.2758620689655172,0.2696629213483146,0.2857142857142857,0.2727272727272727
CastMetal1,100,0.5,auto,1.0,False,None,False,0.2758620689655172,0.29629629629629634,0.3010752688172043,0.2926829268292683,0.3058823529411765,0.3,0.2823529411764706,0.2820512820512821,0.2823529411764706,0.2857142857142857,0.3111111111111111,0.2857142857142857,0.3132530120481927,0.2820512820512821,0.2857142857142857,0.30952380952380953,0.2727272727272727,0.26666666666666666,0.2758620689655172,0.29885057471264365,0.29629629629629634,0.2823529411764706,0.2750000000000001,0.28915662650602414,0.2727272727272727,0.26829268292682923,0.29213483146067415,0.3023255813953489,0.3,0.28915662650602414
CastMetal1,100,0.6,auto,1.0,False,None,False,0.28571428571428575,0.3,0.29333333333333333,0.2894736842105263,0.25641025641025644,0.27848101265822783,0.30769230769230765,0.2716049382716049,0.27027027027027023,0.25974025974025977,0.26666666666666666,0.3116883116883117,0.2631578947368421,0.26666666666666666,0.29545454545454547,0.3037974683544304,0.2894736842105263,0.3132530120481927,0.2716049382716049,0.31578947368421056,0.27027027027027023,0.2432432432432432,0.2857142857142857,0.25974025974025977,0.2894736842105263,0.2926829268292683,0.26666666666666666,0.29629629629629634,0.2750000000000001,0.23376623376623376
CastMetal1,100,0.7,auto,1.0,False,None,False,0.2631578947368421,0.26666666666666666,0.29333333333333333,0.29629629629629634,0.2631578947368421,0.2894736842105263,0.3037974683544304,0.2222222222222222,0.28571428571428575,0.26666666666666666,0.3,0.273972602739726,0.2631578947368421,0.23376623376623376,0.2750000000000001,0.2631578947368421,0.30769230769230765,0.2631578947368421,0.26666666666666666,0.2820512820512821,0.26829268292682923,0.27027027027027023,0.2894736842105263,0.28571428571428575,0.26666666666666666,0.24657534246575344,0.26666666666666666,0.29333333333333333,0.29333333333333333,0.27027027027027023
CastMetal1,100,0.8,auto,1.0,False,None,False,0.24657534246575344,0.25641025641025644,0.2631578947368421,0.30769230769230765,0.273972602739726,0.2368421052631579,0.25974025974025977,0.25,0.27027027027027023,0.27027027027027023,0.2432432432432432,0.27848101265822783,0.26666666666666666,0.24657534246575344,0.2631578947368421,0.23376623376623376,0.24657534246575344,0.23999999999999996,0.26666666666666666,0.2972972972972973,0.2432432432432432,0.25316455696202533,0.22857142857142854,0.2432432432432432,0.25,0.2631578947368421,0.24657534246575344,0.25,0.25974025974025977,0.2432432432432432
CastMetal1,100,0.9,auto,1.0,False,None,False,0.2432432432432432,0.2432432432432432,0.2191780821917808,0.25,0.21333333333333335,0.24657534246575344,0.2432432432432432,0.23999999999999996,0.2222222222222222,0.2368421052631579,0.24657534246575344,0.2631578947368421,0.2432432432432432,0.2820512820512821,0.2432432432432432,0.2222222222222222,0.24657534246575344,0.273972602739726,0.2432432432432432,0.24657534246575344,0.23999999999999996,0.23376623376623376,0.2162162162162162,0.2631578947368421,0.27027027027027023,0.2631578947368421,0.2432432432432432,0.2432432432432432,0.2432432432432432,0.25
