,Filename,ContaminationFraction,NumLearners,NumObservationsPerLearner,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
126,MegaWatt1,0,8,auto,0,0.0,0.0,1.0
127,MegaWatt1,0,16,auto,0,0.0,0.0,1.0
128,MegaWatt1,0,32,auto,0,0.0,0.0,1.0
129,MegaWatt1,0,64,auto,0,0.0,0.0,1.0
130,MegaWatt1,0,128,auto,0,0.0,0.0,1.0
131,MegaWatt1,0,256,auto,0,0.0,0.0,1.0
132,MegaWatt1,0,512,auto,0,0.0,0.0,1.0
133,MegaWatt1,0,100,0.05,0,0.0,0.0,1.0
134,MegaWatt1,0,100,0.1,0,0.0,0.0,1.0
135,MegaWatt1,0,100,0.2,0,0.0,0.0,1.0
136,MegaWatt1,0,100,0.5,0,0.0,0.0,1.0
137,MegaWatt1,0,100,1,0,0.0,0.0,1.0
138,PieChart1,0,100,auto,0,0.0,0.0,1.0
139,PieChart1,0.05,100,auto,0,0.2359042553191489,0.043478260869565355,0.9491456294655264
140,PieChart1,0.1,100,auto,0,0.2870229007633588,0.027027027027027178,0.9077704652192641
141,PieChart1,0.15,100,auto,0,0.2790419161676646,0.021276595744681024,0.9098783487666807
142,PieChart1,0.2,100,auto,0,0.2499938426678488,0.015990159901598976,0.89216105107283
143,PieChart1,0.25,100,auto,0,0.2388185654008438,0.013215859030836902,0.8311712915217588
144,PieChart1,LOF,100,auto,0,0.12454080096356515,0.004608294930875338,0.9104508230689567
145,PieChart1,IF,100,auto,0,0.28617511520737327,0.0,0.9278502731043934
146,PieChart1,0,1,auto,0,0.0,0.0,1.0
147,PieChart1,0,2,auto,0,0.0,0.0,1.0
148,PieChart1,0,4,auto,0,0.0,0.0,1.0
149,PieChart1,0,8,auto,0,0.0,0.0,1.0
150,PieChart1,0,16,auto,0,0.0,0.0,1.0
151,PieChart1,0,32,auto,0,0.0,0.0,1.0
152,PieChart1,0,64,auto,0,0.0,0.0,1.0
153,PieChart1,0,128,auto,0,0.0,0.0,1.0
154,PieChart1,0,256,auto,0,0.0,0.0,1.0
155,PieChart1,0,512,auto,0,0.0,0.0,1.0
156,PieChart1,0,100,0.05,0,0.0,0.0,1.0
157,PieChart1,0,100,0.1,0,0.0,0.0,1.0
158,PieChart1,0,100,0.2,0,0.0,0.0,1.0
159,PieChart1,0,100,0.5,0,0.0,0.0,1.0
160,PieChart1,0,100,1,0,0.0,0.0,1.0
161,PieChart2,0,100,auto,0,0.0,0.0,1.0
162,PieChart2,0.05,100,auto,0,0.0833817126269956,0.007159904534606311,0.8923878948563589
163,PieChart2,0.1,100,auto,0,0.12012484394506864,0.09090909090909083,0.893061548941382
164,PieChart2,0.15,100,auto,0,0.1219734251968504,0.06959706959706949,0.8857675528318688
165,PieChart2,0.2,100,auto,0,0.1105715693520571,0.00228136882129305,0.8900311033580001
166,PieChart2,0.25,100,auto,0,0.099009900990099,0.0,0.8410437526344321
167,PieChart2,LOF,100,auto,0,0.08816326530612237,0.007594936708861201,0.8849903024549669
168,PieChart2,IF,100,auto,0,0.10014809329877819,0.14285714285714332,0.915675657549841
169,PieChart2,0,1,auto,0,0.0,0.0,1.0
170,PieChart2,0,2,auto,0,0.0,0.0,1.0
171,PieChart2,0,4,auto,0,0.0,0.0,1.0
172,PieChart2,0,8,auto,0,0.0,0.0,1.0
173,PieChart2,0,16,auto,0,0.0,0.0,1.0
174,PieChart2,0,32,auto,0,0.0,0.0,1.0
175,PieChart2,0,64,auto,0,0.0,0.0,1.0
176,PieChart2,0,128,auto,0,0.0,0.0,1.0
177,PieChart2,0,256,auto,0,0.0,0.0,1.0
178,PieChart2,0,512,auto,0,0.0,0.0,1.0
179,PieChart2,0,100,0.05,0,0.0,0.0,1.0
180,PieChart2,0,100,0.1,0,0.0,0.0,1.0
181,PieChart2,0,100,0.2,0,0.0,0.0,1.0
182,PieChart2,0,100,0.5,0,0.0,0.0,1.0
183,PieChart2,0,100,1,0,0.0,0.0,1.0
184,PieChart3,0,100,auto,0,0.0,0.0,1.0
185,PieChart3,0.05,100,auto,0,0.10748663101604276,0.04761904761904794,0.9249672970235311
186,PieChart3,0.1,100,auto,0,0.20952367888618356,0.03896425900136779,0.9139460953709317
187,PieChart3,0.15,100,auto,0,0.27171781951442964,0.046728971962616814,0.8976666745508036
188,PieChart3,0.2,100,auto,0,0.30655727546399547,0.03286384976525815,0.8702444654341724
189,PieChart3,0.25,100,auto,0,0.32877916562494236,0.015770550743585507,0.8415424662903956
190,PieChart3,LOF,100,auto,0,0.0131578947368421,0.0,0.9365466722027762
191,PieChart3,IF,100,auto,0,0.18254331864904544,0.02439024390243915,0.9218505543395423
192,PieChart3,0,1,auto,0,0.0,0.0,1.0
193,PieChart3,0,2,auto,0,0.0,0.0,1.0
194,PieChart3,0,4,auto,0,0.0,0.0,1.0
195,PieChart3,0,8,auto,0,0.0,0.0,1.0
196,PieChart3,0,16,auto,0,0.0,0.0,1.0
197,PieChart3,0,32,auto,0,0.0,0.0,1.0
198,PieChart3,0,64,auto,0,0.0,0.0,1.0
199,PieChart3,0,128,auto,0,0.0,0.0,1.0
200,PieChart3,0,256,auto,0,0.0,0.0,1.0
201,PieChart3,0,512,auto,0,0.0,0.0,1.0
202,PieChart3,0,100,0.05,0,0.0,0.0,1.0
203,PieChart3,0,100,0.1,0,0.0,0.0,1.0
204,PieChart3,0,100,0.2,0,0.0,0.0,1.0
205,PieChart3,0,100,0.5,0,0.0,0.0,1.0
206,PieChart3,0,100,1,0,0.0,0.0,1.0
207,PizzaCutter1,0,100,auto,0,0.0,0.0,1.0
208,PizzaCutter1,0.05,100,auto,0,0.23554621848739493,0.0,0.8861733164112291
209,PizzaCutter1,0.1,100,auto,0,0.29007677821237143,0.0031948881789137787,0.8995329375420563
210,PizzaCutter1,0.15,100,auto,0,0.2597792494481236,0.025641025641025664,0.8859038591441931
