,Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
108,KungChi3,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.1,0.23076923076923075,0.025209354323909805
109,KungChi3,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.1658536585365853,0.3333333333333335,-0.012762389420442588
110,KungChi3,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.1659574468085106,0.4193548387096774,0.002464796412801985
111,KungChi3,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.10769230769230767,0.3333333333333333,-0.0013506464171535186
112,KungChi3,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.15,0.2,-0.006569518390068136
113,KungChi3,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
114,KungChi3,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
115,KungChi3,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
116,KungChi3,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
117,KungChi3,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
118,KungChi3,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
119,KungChi3,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
120,KungChi3,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
121,KungChi3,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
122,KungChi3,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
123,KungChi3,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
124,KungChi3,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
125,KungChi3,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
126,KungChi3,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
127,KungChi3,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
128,KungChi3,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
129,KungChi3,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,1.0
130,KungChi3,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,1.0
131,KungChi3,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,1.0
132,KungChi3,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,1.0
