Filename,store_precision,assume_centered,support_fraction,contamination,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
PieChart2,FALSE,FALSE,None,0.1,0,0.131868132,0.153846154,0.087912088,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.153846154
PieChart2,TRUE,TRUE,None,0.1,0,0.087912088,0.131868132,0.043956044,0.153846154,0.10989011,0.043956044,0.10989011,0.131868132,0.10989011,0.10989011
PieChart2,TRUE,FALSE,0.1,0.1,0,0.131868132,0.131868132,0.153846154,0.10989011,0.153846154,0.131868132,0.10989011,0.153846154,0.131868132,0.131868132
PieChart2,TRUE,FALSE,0.2,0.1,0,0.153846154,0.131868132,0.131868132,0.131868132,0.153846154,0.131868132,0.131868132,0.153846154,0.10989011,0.153846154
PieChart2,TRUE,FALSE,0.3,0.1,0,0.153846154,0.10989011,0.10989011,0.10989011,0.131868132,0.153846154,0.131868132,0.131868132,0.10989011,0.131868132
PieChart2,TRUE,FALSE,0.4,0.1,0,0.10989011,0.10989011,0.10989011,0.131868132,0.10989011,0.10989011,0.087912088,0.131868132,0.131868132,0.10989011
PieChart2,TRUE,FALSE,0.5,0.1,0,0.10989011,0.131868132,0.087912088,0.153846154,0.10989011,0.131868132,0.10989011,0.153846154,0.131868132,0.043956044
PieChart2,TRUE,FALSE,0.6,0.1,0,0.131868132,0.10989011,0.131868132,0.131868132,0.131868132,0.131868132,0.153846154,0.131868132,0.131868132,0.131868132
PieChart2,TRUE,FALSE,0.7,0.1,0,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132
PieChart2,TRUE,FALSE,0.8,0.1,0,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132
PieChart2,TRUE,FALSE,0.9,0.1,0,0.131868132,0.131868132,0.10989011,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132,0.131868132
PieChart2,TRUE,FALSE,None,0.2,0,0.109090909,0.109090909,0.109090909,0.109090909,0.109090909,0.109090909,0.109090909,0.109090909,0.109090909,0.109090909
PieChart2,TRUE,FALSE,None,0.3,0,0.075,0.075,0.083333333,0.075,0.075,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333
PieChart2,TRUE,FALSE,None,0.4,0,0.076433121,0.076433121,0.076433121,0.070063694,0.063694268,0.082802548,0.070063694,0.063694268,0.076433121,0.070063694
PieChart2,TRUE,FALSE,None,0.5,0,0.071979434,0.072164948,0.072164948,0.071979434,0.072164948,0.072164948,0.072164948,0.066838046,0.071979434,0.067010309
PieChart2,TRUE,FALSE,None,LOF,0,0.12,0.08,0.08,0.08,0.12,0.12,0.12,0.08,0.12,0.08
PieChart2,TRUE,FALSE,None,IF,0,0.135135135,0.135135135,0.135135135,0.135135135,0.135135135,0.135135135,0.135135135,0.054054054,0.135135135,0.135135135
pendigits,TRUE,FALSE,None,0.1,0,0.109134045,0.111506524,0.028469751,0.109134045,0.111506524,0.111506524,0.111506524,0.106761566,0.109134045,0.111506524
pendigits,FALSE,FALSE,None,0.1,0,0.109134045,0.028469751,0.109134045,0.109134045,0.111506524,0.028469751,0.109134045,0.109134045,0.111506524,0.111506524
pendigits,TRUE,TRUE,None,0.1,0,0.007117438,0.007117438,0.007117438,0.007117438,0.007117438,0.007117438,0.007117438,0.007117438,0.007117438,0.007117438
pendigits,TRUE,FALSE,0.1,0.1,0,0.185053381,0.185053381,0.185053381,0.185053381,0.085409253,0.185053381,0.185053381,0.026097272,0.185053381,0.185053381
pendigits,TRUE,FALSE,0.2,0.1,0,0.185053381,0.185053381,0.185053381,0.185053381,0.185053381,0.185053381,0.185053381,0.185053381,0.185053381,0.185053381
pendigits,TRUE,FALSE,0.3,0.1,0,0.185053381,0.185053381,0.185053381,0.185053381,0.185053381,0.185053381,0.185053381,0.144721234,0.185053381,0.185053381
pendigits,TRUE,FALSE,0.4,0.1,0,0.149466192,0.128113879,0.149466192,0.037959668,0.149466192,0.151838671,0.149466192,0.1257414,0.149466192,0.149466192
pendigits,TRUE,FALSE,0.5,0.1,0,0.111506524,0.111506524,0.111506524,0.109134045,0.109134045,0.111506524,0.111506524,0.111506524,0.111506524,0.111506524
pendigits,TRUE,FALSE,0.6,0.1,0,0.026097272,0.026097272,0.026097272,0.026097272,0.026097272,0.026097272,0.026097272,0.026097272,0.026097272,0.026097272
pendigits,TRUE,FALSE,0.7,0.1,0,0.033214709,0.03084223,0.03084223,0.03084223,0.03084223,0.033214709,0.03084223,0.03084223,0.03084223,0.033214709
pendigits,TRUE,FALSE,0.8,0.1,0,0.047449585,0.047449585,0.056939502,0.049822064,0.056939502,0.049822064,0.049822064,0.047449585,0.049822064,0.049822064
pendigits,TRUE,FALSE,0.9,0.1,0,0.068801898,0.068801898,0.068801898,0.066429419,0.068801898,0.068801898,0.066429419,0.066429419,0.066429419,0.066429419
pendigits,TRUE,FALSE,None,0.2,0,0.101960784,0.168627451,0.103267974,0.103267974,0.103267974,0.101960784,0.103267974,0.101960784,0.103267974,0.101960784
pendigits,TRUE,FALSE,None,0.3,0,0.129905277,0.129905277,0.129905277,0.129905277,0.129905277,0.129905277,0.129905277,0.129905277,0.129905277,0.129905277
