,Filename,Configuration,Mean ARI,Min ARI
73,analcatdata_neavote,Configure 1,-0.03241909777562192,-0.0880327073660869
74,annthyroid,Configure 1,-0.00013623988628061394,-0.0001501925999206432
75,appendicitis,Configure 1,-0.0055218050893414885,-0.016145307769929364
76,ar1,Configure 1,0.0006316618799613391,-0.013723415463119466
77,ar3,Configure 1,0.022977886236821538,-0.08439012352449239
78,ar4,Configure 1,-0.004771204580431955,-0.008506413519392669
79,ar6,Configure 1,0.03497736195542046,-0.014508928571428572
80,arsenic-female-bladder,Configure 1,0.0,0.0
81,arsenic-female-lung,Configure 1,0.0,0.0
82,arsenic-male-bladder,Configure 1,0.0,0.0
83,arsenic-male-lung,Configure 1,0.0,0.0
84,backache,Configure 1,-0.003528811339443455,-0.05152641339217958
85,bank-marketing,Configure 1,-0.0013714192530758882,-0.01245038360295946
86,breastw,Configure 1,0.06647345769152872,0.027131358815110636
87,cardio,Configure 1,0.01741929118300676,0.009580856435103235
88,churn,Configure 1,-0.0003407657024069511,-0.007008897926402616
89,climate-model-simulation-crashes,Configure 1,-0.0038030547464300173,-0.04450045406927577
90,datatrieve,Configure 1,-0.015606527028827477,-0.07012278499652892
91,fertility,Configure 1,-0.0008952337852014891,-0.01458046201633308
92,flare,Configure 1,-0.005773741184350567,-0.006240723789851957
93,glass,Configure 1,-0.02731187373562412,-0.03526960015216701
94,ionosphere,Configure 1,0.005452684168584641,-0.0075922425062298305
95,kc3,Configure 1,0.06644795785487037,0.03413121977460156
96,letter,Configure 1,-0.010075413855827864,-0.02496764363467357
97,lungcancer_GSE31210,Configure 1,-0.00023831356308670284,-0.003097798241290397
98,lympho,Configure 1,-0.01696898184203083,-0.034891147373503725
99,mw1,Configure 1,0.0007989613070727208,-0.04288386509668571
100,optdigits,Configure 1,-0.0005128014365675636,-0.003556040002947237
101,pc1,Configure 1,0.0,0.0
102,pima,Configure 1,-0.0007132888396178844,-0.033070890810569735
103,satellite,Configure 1,0.00029220056702952056,-0.009477848430537533
104,satimage-2,Configure 1,0.0021969575357706295,-0.009110717268029738
105,thoracic_surgery,Configure 1,-0.00784312231126438,-0.05155016994734377
106,thyroid,Configure 1,-0.000873826070696107,-0.0014652827546298881
107,vertebral,Configure 1,0.014934361523665183,-0.05977795400792822
108,visualizing_livestock,Configure 1,-0.0043445226632125526,-0.1055537565378892
109,vowels,Configure 1,0.0024967425100712167,-0.005232436556505673
110,wbc,Configure 1,0.008447286407892617,-0.0014460956577072033
111,wine,Configure 1,-0.006446160647652641,-0.0744268733108384
112,CastMetal1,Configure 2,0.4220902547749822,0.3723549613052321
113,CostaMadre1,Configure 2,0.4465884381668731,0.37727365141780983
114,KnuggetChase3,Configure 2,0.3465516060136413,0.3465516060136413
115,KungChi3,Configure 2,0.35218442410637196,0.35218442410637196
116,MeanWhile1,Configure 2,0.19611147270744017,0.19611147270744017
117,MegaWatt1,Configure 2,0.22458906049580213,0.2169950412364969
118,PieChart1,Configure 2,0.3792140862428264,0.3675182255602556
119,PieChart2,Configure 2,0.4401665831134259,0.3976629868732769
120,PieChart3,Configure 2,0.4824744425102212,0.4824744425102212
121,PizzaCutter1,Configure 2,0.4333794391723921,0.4333794391723921
122,PizzaCutter3,Configure 2,0.4818373136162144,0.4742803857089248
123,analcatdata_apnea1,Configure 2,0.4346837347943156,0.334605781771852
124,analcatdata_apnea2,Configure 2,0.4324527345146872,0.3464845698640522
125,analcatdata_apnea3,Configure 2,0.4500258571646877,0.26234333630236156
126,analcatdata_challenger,Configure 2,0.002838183619667634,-0.011384802431610943
127,analcatdata_chlamydia,Configure 2,-0.011474172328264856,-0.01639167475466408
128,analcatdata_lawsuit,Configure 2,0.5657691877681433,0.5083041777529372
129,analcatdata_neavote,Configure 2,0.01322241144831473,-0.010389737683627586
130,annthyroid,Configure 2,0.5163224995908151,0.4623409760164477
131,appendicitis,Configure 2,0.5952812296758291,0.5142892661088716
132,ar1,Configure 2,0.4481921905384708,0.4481921905384708
133,ar3,Configure 2,0.3642806778766351,0.27736197882638175
134,ar4,Configure 2,0.2857540293880422,0.28575402938804223
135,ar6,Configure 2,0.33383294420748844,0.2703738643413817
136,arsenic-female-bladder,Configure 2,0.2899150689032962,0.23413421172444424
137,arsenic-female-lung,Configure 2,0.2977810410525854,0.24767903974810723
138,arsenic-male-bladder,Configure 2,0.3445062570565499,0.3043388417250537
139,arsenic-male-lung,Configure 2,0.3368405292151513,0.27197711870479746
140,backache,Configure 2,0.0868664027099138,0.05955707714195307
141,breastw,Configure 2,0.6935738783642899,0.6259803298045329
142,cardio,Configure 2,0.6605267843620576,0.6260785981028814
143,climate-model-simulation-crashes,Configure 2,0.1672864821141836,0.1475008636131107
144,datatrieve,Configure 2,0.3500324588803623,0.3151782951597299
145,fertility,Configure 2,0.15262031959847427,0.06906218594072323
146,flare,Configure 2,0.48090776359780635,0.31548478384231926
147,glass,Configure 2,0.6099690414127898,0.5397727663869629
148,ionosphere,Configure 2,0.8949416513782209,0.8608888216283453
149,kc3,Configure 2,0.38576854193844745,0.35159223889350727
150,letter,Configure 2,0.5096044290703075,0.4440073094746294
151,lungcancer_GSE31210,Configure 2,0.16882664334332004,0.1136312825723823
152,lympho,Configure 2,0.3746419129146951,0.29947637390379245
153,mw1,Configure 2,0.2859523943881987,0.2464086187609629
154,optdigits,Configure 2,0.0005708020600915969,-0.00012624892185273616
155,pc1,Configure 2,0.5072699764358268,0.45381341727556285
156,pima,Configure 2,0.3567168678555629,0.2939566072372462
157,satellite,Configure 2,0.6104358410111912,0.582873090598371
158,satimage-2,Configure 2,0.7001363526722926,0.6168791575010402
159,thoracic_surgery,Configure 2,0.1636954942146179,0.15859945404159795
160,thyroid,Configure 2,0.6996063219815308,0.6664370557036869
161,vertebral,Configure 2,0.4991352105610579,0.40375514857373473
162,visualizing_livestock,Configure 2,0.06371112079955005,-0.08847177924935559
163,vowels,Configure 2,0.6469989141749962,0.6096958189207979
164,wbc,Configure 2,0.40508191221036804,0.37034664939946116
165,wine,Configure 2,0.013817552377214711,-0.018570162466179953
166,CastMetal1,Configure 3,-0.09425640484589323,-0.09425640484589322
167,CostaMadre1,Configure 3,0.09773391103094511,0.09773391103094511
168,KnuggetChase3,Configure 3,-0.10183377345824769,-0.10183377345824768
169,KungChi3,Configure 3,0.08627755293931061,0.08627755293931061
170,MeanWhile1,Configure 3,-0.09332057266233108,-0.09332057266233108
171,MegaWatt1,Configure 3,0.06560613882485034,0.06473875944853243
172,PieChart1,Configure 3,0.7357688853589195,0.7189663733968952
173,PieChart2,Configure 3,-0.027722581330293594,-0.027722581330293594
174,PieChart3,Configure 3,0.13969153931307135,0.13969153931307135
175,PizzaCutter1,Configure 3,-0.012012596593438628,-0.012012596593438627
176,PizzaCutter3,Configure 3,0.5268762336546755,0.5127408479735659
177,analcatdata_apnea1,Configure 3,0.02120273047555931,0.0006705744819985033
178,analcatdata_apnea2,Configure 3,-0.000689230578208176,-0.017129051596651443
179,analcatdata_apnea3,Configure 3,0.01275834517601111,-0.0057258628661654085
180,analcatdata_challenger,Configure 3,0.024265365190417602,-0.008892317096243687
181,analcatdata_chlamydia,Configure 3,0.0,0.0
182,analcatdata_lawsuit,Configure 3,0.13220474982079908,0.09196826780470044
183,analcatdata_neavote,Configure 3,-0.00468042830334474,-0.011480295838392758
184,annthyroid,Configure 3,-0.012736449833440513,-0.020934886954993952
185,appendicitis,Configure 3,-0.05952866295673677,-0.0641005234225695
186,ar1,Configure 3,-0.032219771135814215,-0.032219771135814215
187,ar3,Configure 3,-0.024448487605185358,-0.024448487605185355
188,ar4,Configure 3,-0.028237115401975644,-0.02823711540197564
189,ar6,Configure 3,0.08379105242187945,0.08379105242187945
190,arsenic-female-bladder,Configure 3,0.006815219095719659,0.006815219095719659
191,arsenic-female-lung,Configure 3,0.07864940211314106,0.029302481244468357
192,arsenic-male-bladder,Configure 3,0.08118761592325872,0.06812073542124353
193,arsenic-male-lung,Configure 3,0.05857268034779336,0.03860160252586692
194,backache,Configure 3,0.06023161954116807,0.04156072456516478
195,breastw,Configure 3,0.09003230378644317,0.0713092465575137
196,cardio,Configure 3,-0.08266357304923902,-0.08266357304923903
197,climate-model-simulation-crashes,Configure 3,0.18855161263525572,0.16903112378450896
198,datatrieve,Configure 3,-0.036158649426752794,-0.05182682655180232
199,fertility,Configure 3,0.06532588749854916,0.02266072527837402
200,flare,Configure 3,0.003568160062079976,-0.0024458997345901206
201,glass,Configure 3,0.008889282643156991,-0.018284306153532725
202,ionosphere,Configure 3,0.012677631727174926,-0.0006676825439464643
203,kc3,Configure 3,-0.10149207682198051,-0.10149207682198051
204,letter,Configure 3,-0.07372316625552594,-0.07902466076281973
205,lungcancer_GSE31210,Configure 3,0.43699704413829005,0.33077308671876504
206,lympho,Configure 3,0.1382340879615122,0.11575964562104717
207,mw1,Configure 3,-0.09921218402546299,-0.099212184025463
208,optdigits,Configure 3,0.020283383833342362,0.006657202041404965
209,pc1,Configure 3,-0.046385636101117025,-0.046385636101117025
210,pima,Configure 3,0.002014583898842899,-0.002269347237470587
211,satellite,Configure 3,0.03631033580580748,0.03135397890102845
212,satimage-2,Configure 3,0.04330869371155176,0.03872039470507201
213,thoracic_surgery,Configure 3,0.13583093475140115,0.1247002740882489
214,thyroid,Configure 3,-0.010164143548763077,-0.016953849651896703
215,vertebral,Configure 3,0.011434358429714062,-0.04073913615642693
216,visualizing_livestock,Configure 3,0.013956485803222021,-0.09018911072815003
217,vowels,Configure 3,-0.06124237588560871,-0.06291708709708564
218,wbc,Configure 3,-0.054143042006327635,-0.061425643584500256
219,wine,Configure 3,0.28614261773743277,0.28614261773743277
