Filename,ContaminationFraction,NumLearners,NumObservationsPerLearner
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.05,128,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.1,256,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,128,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,64,auto
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,1
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.2,100,0.5
CastMetal1,0.15,512,0.5
CastMetal1,0.15,512,0.5
CastMetal1,0.15,512,0.5
CastMetal1,0.15,512,0.5
CastMetal1,0.15,512,0.5
CastMetal1,0.15,512,0.5
CastMetal1,0.15,512,0.5
CastMetal1,0.15,512,0.5
CastMetal1,0.15,512,0.5
